ID,cdna_read,cdna_cov,drna_read,drna_cov,length,GC,conc
ERCC-00002,20918,1,24930,1,1061,51.36663525,15000
ERCC-00003,1760,1,2074,1,1023,32.64907136,937.5
ERCC-00004,8601,1,12625,1,523,34.416826,7500
ERCC-00009,1338,1,1029,1,984,47.25609756,937.5
ERCC-00012,0,0,0,0,994,50.9054326,0.11444092
ERCC-00013,6,0.9913366,2,0.9975247,808,42.82178218,0.91552734
ERCC-00014,21,0.6934083,5,0.5431783,1957,44.20030659,3.66210938
ERCC-00016,1,0.6255924,1,1,844,48.45971564,0.22888184
ERCC-00017,0,0,0,0,1136,51.4084507,0.11444092
ERCC-00019,83,1,61,0.9968944,644,48.75776398,29.296875
ERCC-00022,407,1,359,1,751,47.27030626,234.375
ERCC-00024,2,0.9888059,0,0,536,46.26865672,0.22888184
ERCC-00025,68,1,63,1,1994,50.15045135,58.59375
ERCC-00028,6,1,2,0.9964602,1130,50.61946903,3.66210938
ERCC-00031,3,0.9824253,3,0.9947276,1138,47.80316344,1.83105469
ERCC-00033,4,0.2487636,2,0.9990109,2022,32.78931751,1.83105469
ERCC-00034,23,1,17,1,1019,49.16584887,7.32421875
ERCC-00035,126,1,142,1,1130,51.32743363,117.1875
ERCC-00039,8,1,9,0.9945946,740,48.91891892,3.66210938
ERCC-00040,0,0,0,0,744,52.68817204,0.91552734
ERCC-00041,0,0,0,0,1122,45.36541889,0.22888184
ERCC-00042,662,1,1049,1,1023,39.19843597,468.75
ERCC-00043,560,1,712,1,1023,32.74682307,468.75
ERCC-00044,91,1,51,1,1156,50,117.1875
ERCC-00046,9157,1,8518,1,522,34.86590038,3750
ERCC-00048,0,0,0,0,992,47.68145161,0.01430512
ERCC-00051,177,1,85,1,274,34.30656934,58.59375
ERCC-00053,15,1,35,0.9990225,1023,31.1827957,29.296875
ERCC-00054,65,1,26,1,274,37.22627737,14.6484375
ERCC-00057,0,0,0,0,1021,49.75514202,0.01430512
ERCC-00058,1,0.3433098,1,0.7121479,1136,50.17605634,1.83105469
ERCC-00059,53,1,34,0.9904762,525,48,14.6484375
ERCC-00060,1404,1,787,1,523,31.16634799,234.375
ERCC-00061,0,0,0,0,1136,50.13215859,0.05722046
ERCC-00062,90,1,102,1,1023,30.79178886,58.59375
ERCC-00067,10,1,4,0.9953416,644,47.20496894,3.66210938
ERCC-00069,2,0.996482,2,0.998241,1137,50.21987687,1.83105469
ERCC-00071,130,1,84,1,642,48.4423676,58.59375
