Percentile,cdna_cds_all,drna_cds_all,cdna_cds_1000,drna_cds_1000
1,0.966391819,0.875103994,0.960363625,0.787137568
2,0.952405919,0.872525778,0.959010614,0.788542212
3,0.966347309,0.876082093,0.973212945,0.796401367
4,0.970399338,0.889796444,0.952484407,0.799108526
5,0.971242079,0.895331718,0.982051858,0.807213914
6,0.966753134,0.902994193,0.980751765,0.815236058
7,0.971662304,0.905938972,0.965478181,0.814208457
8,0.976907916,0.913789221,0.984494716,0.825002116
9,0.980603867,0.905892553,0.974726144,0.817064614
10,0.985768642,0.913290288,0.974581689,0.830948072
11,0.972711885,0.928582295,0.975216718,0.848145176
12,0.978452669,0.91861982,0.991113889,0.846226381
13,0.981594211,0.92699266,1,0.855302009
14,0.985142559,0.940042466,0.96874343,0.854380736
15,0.976946862,0.934679991,0.9636017,0.858008468
16,0.984768153,0.935299913,0.975027926,0.859870602
17,0.978521724,0.931430343,0.977352073,0.85871149
18,0.991588627,0.939268013,0.982073311,0.864863107
19,0.978779619,0.942521256,0.967278859,0.870296311
20,0.987296376,0.942457466,0.972533579,0.870463498
21,0.983645589,0.937304328,0.961562171,0.863817318
22,0.975540549,0.936390916,0.958222549,0.86494705
23,0.97973658,0.943738938,0.971420848,0.878074322
24,0.988629707,0.947701347,0.971805584,0.880220462
25,0.986131266,0.947817845,0.966193303,0.879281001
26,0.989948964,0.958462833,0.962802193,0.881692261
27,0.994207179,0.954737312,0.966170419,0.878334545
28,0.989588304,0.957572781,0.950148817,0.88638467
29,0.993703825,0.957651244,0.969728868,0.882357509
30,0.992743264,0.963063433,0.955570875,0.894820233
31,0.975546767,0.959238484,0.944453582,0.886400759
32,0.993081015,0.971153264,0.95390464,0.898260493
33,0.980353827,0.971347926,0.956723652,0.90499971
34,0.990962872,0.973420023,0.967243103,0.904427499
35,0.980098223,0.972310153,0.939597901,0.897560969
36,0.998809035,0.976284841,0.953160913,0.911202391
37,1,0.976861039,0.952191207,0.911094665
38,0.983885484,0.981272667,0.954054816,0.914488057
39,0.970654288,0.976995205,0.931262434,0.90499901
40,0.977368397,0.983899998,0.944844039,0.908502927
41,0.977106574,0.982638891,0.947847553,0.918827206
42,0.9848647,0.981712003,0.936090941,0.911133138
43,0.979123589,0.985769048,0.948459698,0.919574997
44,0.980862417,0.992787043,0.951330199,0.925402734
45,0.973980087,0.983186339,0.931115119,0.912062107
46,0.987334995,0.987217928,0.96255476,0.926973166
47,0.971506192,0.980542836,0.95145463,0.932864559
48,0.987648527,0.985107498,0.957428763,0.927462833
49,0.983618425,0.990493033,0.960847048,0.929771263
50,0.983089544,0.9933869,0.959482595,0.939898275
51,0.972043256,0.99065535,0.942763033,0.940242441
52,0.974792391,0.992041939,0.93234513,0.939783553
53,0.979458394,0.992887369,0.946338645,0.934821128
54,0.964007925,0.987716261,0.929823608,0.943812813
55,0.956434384,0.997607461,0.923709311,0.946500385
56,0.967380198,0.998339088,0.942379727,0.953640429
57,0.972505372,0.9959172,0.947853274,0.954175565
58,0.948737787,0.989593996,0.915514009,0.951835657
59,0.954145402,0.986796561,0.919251238,0.94989028
60,0.962487719,0.991231548,0.934787988,0.953121382
61,0.953575283,0.989860533,0.927415076,0.960026386
62,0.953022184,0.988404165,0.919035271,0.954316869
63,0.948613094,0.987001105,0.924485934,0.955093341
64,0.95735109,0.992640897,0.928211722,0.972968984
65,0.942989148,0.998628385,0.905968555,0.967094379
66,0.938985556,0.988293957,0.924453039,0.962923816
67,0.948299234,0.992416588,0.928210292,0.96346105
68,0.939693131,0.98349031,0.911576545,0.960245337
69,0.943975564,0.992500442,0.906273197,0.964660734
70,0.940933842,0.991495689,0.931454087,0.975404727
71,0.936817993,0.984372277,0.907952304,0.961570936
72,0.921701676,0.988090311,0.89542622,0.974254709
73,0.925073621,0.985374035,0.892222472,0.967120961
74,0.943057222,0.990518788,0.917133046,0.967880644
75,0.945516389,1,0.93118234,0.975108828
76,0.926848123,0.993397082,0.896400217,0.97925281
77,0.93855944,0.997756601,0.90956133,0.982822482
78,0.928608879,0.989815311,0.888343648,0.976563139
79,0.910162834,0.992484869,0.882974509,0.983852182
80,0.916940107,0.989687134,0.891844887,0.988502619
81,0.918396167,0.986983136,0.91038372,0.990225548
82,0.889799267,0.970751663,0.851363238,0.978439963
83,0.90532141,0.976684945,0.885947988,0.979618661
84,0.908749647,0.979929503,0.880504476,0.987896132
85,0.900281983,0.980415258,0.892824605,0.991870129
86,0.897434009,0.982638292,0.890005592,0.998913639
87,0.910898555,0.985474061,0.905744006,0.995158593
88,0.910593532,0.984752316,0.902957889,0.99586791
89,0.894483598,0.982322341,0.883500839,0.993146061
90,0.895404558,0.984463917,0.905044616,0.995602791
91,0.897233061,0.980249346,0.870335435,0.986932187
92,0.893470018,0.977529476,0.884174484,0.995685334
93,0.867454359,0.963238928,0.85137754,0.988053525
94,0.879637284,0.974906338,0.860092022,0.992929908
95,0.880080746,0.971229931,0.857281591,1
96,0.883427164,0.969702288,0.870957592,0.991791782
97,0.878384137,0.970411155,0.864681678,0.993195028
98,0.856410035,0.954353978,0.870180969,0.985158194
99,0.854513131,0.950912962,0.852424479,0.96997432
100,0.819634457,0.918037333,0.834620792,0.955243039
