GENEID	SKMM2control1_gene.sorted	SKMM2control2_gene.sorted	SKMM2control3_gene.sorted	SKMM2IL61_gene.sorted	SKMM2IL62_gene.sorted	SKMM2IL63_gene.sorted	sub_SKMM2_drna_control1_gene.sorted	sub_SKMM2_drna_control2_gene.sorted	sub_SKMM2_drna_control3_gene.sorted	sub_SKMM2_drna_IL61_gene.sorted	sub_SKMM2_drna_IL62_gene.sorted	sub_SKMM2_drna_IL63_gene.sorted
BambuGene102	3	12	7	7	7	4	9	3	4	3	4	1
BambuGene1027	7	12	22	20	18	17	11	13	11	9	8	6
BambuGene1063	31	11	17	18	15	10	2	3	2	3	2	1
BambuGene1076	1	8	14	5	5	5	5	0	2	0	0	0
BambuGene1113	1	10	0	5	4	11	1	0	0	0	0	0
BambuGene1242	8	13	8	0	5	0	2	0	1	0	2	2
BambuGene1246	9	5	7	9	2	5	8	3	5	7	1	0
BambuGene1291	166	180	163	117	159	134	143	127	105	115	134	92
BambuGene1295	3	7	4	1	2	1	7	4	7	1	4	0
BambuGene1312	21	17	35	39	34	35	16	12	22	15	17	12
BambuGene1339	7	2	5	5	13	13	1	3	4	2	8	4
BambuGene1349	17	18	16	7	5	12	15	17	8	7	9	3
BambuGene1365	21	15	10	10	18	12	12	8	5	1	3	6
BambuGene1372	30	25	34	18	17	10	9	16	12	7	4	10
BambuGene1435	2	0	0	1	0	0	0	0	2	0	0	0
BambuGene1462	19	10	9	0	5	2	1	2	2	0	0	3
BambuGene1499	0	1	0	6	1	1	1	1	1	0	2	0
BambuGene1546	0	0	1	0	1	0	1	0	2	0	0	0
BambuGene1569	4	17	9	5	3	7	0	0	1	0	0	0
BambuGene1618	107	100	99	54	54	39	16	27	14	11	12	10
BambuGene1643	29	14	7	9	8	6	4	6	4	1	2	2
BambuGene1673	0	0	0	0	0	0	9	4	12	8	9	7
BambuGene1713	1	1	4	3	2	1	2	2	3	1	0	1
BambuGene1776	106	142	112	135	144	81	58	54	57	37	66	47
BambuGene179	37	40	25	39	33	45	24	12	24	18	9	13
BambuGene1866	6	1	5	0	1	1	0	1	4	0	2	1
BambuGene1873	0	0	0	0	0	2	0	0	0	10	0	0
BambuGene1882	2	0	5	1	0	0	1	1	2	0	1	0
BambuGene1884	12	3	1	19	3	3	9	6	13	6	16	10
BambuGene1886	7	2	5	8	4	7	4	2	3	2	2	4
BambuGene1892	15	17	24	3	10	8	3	0	5	7	1	6
BambuGene1898	17	8	11	7	5	13	2	3	2	4	1	6
BambuGene19	19	27	18	24	10	23	1	4	4	0	3	2
BambuGene1943	0	2	4	7	2	2	2	1	5	1	4	3
BambuGene1970	24	20	13	10	14	9	0	4	4	1	0	5
BambuGene1981	13	16	7	11	8	0	2	0	5	1	1	0
BambuGene2026	0	0	0	0	0	0	2	0	0	0	0	0
BambuGene2042	0	0	0	1	1	0	1	1	1	2	3	3
BambuGene2044	11	4	2	16	21	21	6	0	5	10	5	7
BambuGene2051	1	4	2	0	0	0	7	9	4	3	5	6
BambuGene2061	1	2	0	0	0	0	1	0	0	3	0	0
BambuGene2068	13	10	5	16	5	11	12	18	17	21	22	27
BambuGene2105	0	0	1	0	1	0	0	0	0	2	3	1
BambuGene2110	24	19	21	21	12	15	4	5	3	3	9	3
BambuGene2177	1	0	0	5	5	0	1	0	0	1	3	0
BambuGene2179	66	79	49	90	72	123	15	18	5	24	10	15
BambuGene2181	138	132	116	89	104	127	23	13	21	18	16	15
BambuGene2226	12	8	8	1	4	4	1	2	3	0	0	0
BambuGene2266	4	6	5	6	1	1	11	2	4	3	1	4
BambuGene2270	28	32	19	11	10	13	2	4	2	1	2	3
