	SKMM2_cDNA_control_1	SKMM2_cDNA_control_2	SKMM2_cDNA_control_3	SKMM2_cDNA_IL6_1	SKMM2_cDNA_IL6_2	SKMM2_cDNA_IL6_3	SKMM2_dRNA_control_1	SKMM2_dRNA_control_2	SKMM2_dRNA_control_3	SKMM2_dRNA_IL6_1	SKMM2_dRNA_IL6_2	SKMM2_dRNA_IL6_3
BambuGene102	1	0	0	0	0	1	6	1	2	0	3	0
BambuGene1027	4	3	8	8	10	6	3	6	5	4	6	2
BambuGene1063	17	5	13	17	9	7	0	0	2	3	2	0
BambuGene1076	1	3	11	5	4	5	3	0	2	0	0	0
BambuGene1113	1	10	0	4	4	6	1	0	0	0	0	0
BambuGene1242	6	12	2	0	0	0	1	0	0	0	2	1
BambuGene1246	6	3	2	2	1	2	3	1	4	3	1	0
BambuGene1291	150	169	148	107	142	130	131	91	84	80	96	86
BambuGene1295	0	5	2	0	0	0	3	2	1	0	2	0
BambuGene1312	19	16	32	36	31	31	12	9	14	10	12	6
BambuGene1339	4	1	3	2	9	6	0	1	3	1	3	3
BambuGene1349	15	18	13	6	4	9	15	17	6	7	9	3
BambuGene1365	8	8	7	7	9	5	5	1	1	0	0	3
BambuGene1372	19	16	16	9	3	3	1	6	6	5	2	2
BambuGene1435	2	0	0	0	0	0	0	0	2	0	0	0
BambuGene1462	19	10	9	0	5	2	1	2	2	0	0	3
BambuGene1499	0	1	0	6	1	1	1	1	1	0	2	0
BambuGene1546	0	0	0	0	0	0	0	0	2	0	0	0
BambuGene1569	4	15	9	5	3	7	0	0	1	0	0	0
BambuGene1618	77	70	60	41	46	32	12	14	8	8	7	8
BambuGene1643	27	10	7	8	7	6	3	6	2	0	2	2
BambuGene1673	0	0	0	0	0	0	1	2	4	4	2	2
BambuGene1713	0	1	3	1	2	0	2	2	2	0	0	0
BambuGene1776	104	137	111	130	142	80	58	54	57	36	64	46
BambuGene179	12	19	12	15	13	20	10	1	7	3	3	3
BambuGene1866	6	1	5	0	1	1	0	1	4	0	2	1
BambuGene1873	0	0	0	0	0	2	0	0	0	10	0	0
BambuGene1882	1	0	3	1	0	0	0	1	2	0	1	0
BambuGene1884	12	3	1	19	3	3	9	6	12	6	16	10
BambuGene1886	7	2	4	6	4	7	4	2	3	2	1	4
BambuGene1892	14	13	23	3	7	8	2	0	2	5	1	3
