Rank	Chromosome	Probe	Symbol	Direction
1	8q21.13	202345_s_at	FABP5	1
2	Xp22.12	1555864_s_at	PDHA1	1
3	5p15.33	204033_at	TRIP13	1
4	1q22	206513_at	AIM2	1
5	2p24.1	1555274_a_at	SELI	1
6	21q22.3	211576_s_at	SLCI19A1	1
7	3p21.3	204016_at	LARS2	1
8	1q43	1565951_s_at	OPN3	1
9	1q31.3	219918_s_at	ASPM	1
10	12q15	201947_s_at	CCT2	1
11	16p13.3	213535_s_at	UBE2I	1
12	20q13.31	204092_s_at	STK6	1
13	1p36.33	213607_x_at	FLJ13052	1
14	Xq12	208117_s_at	LAS1L	1
15	17q25	210334_x_at	BIRC5	1
16	3q27	204023_at	RFC4	1
17	1q21.2	201897_s_at	CKS1B	1
18	19q13.12	216194_s_at	CKAP1	1
19	1p11	225834_at	MGC57827	1
20	19q13.12	238952_x_at	DKFZp779O175	1
21	17p13.3	200634_at	PFN1	1
22	19p13.2	208931_s_at	ILF3	1
23	1q22	206332_s_at	IFI16	1
24	7p13	220789_s_at	TBRG4	1
25	10p11.23	218947_s_at	PAPD1	1
26	8q24	213310_at	EIF2C2	1
27	3q12.1	224523_s_at	MGC4308	1
28	1p36.13	201231_s_at	ENO1	1
29	18q12.1	217901_at	DSG2	1
30	6q22	226936_at	C6orf173	1
31	8q24.3	58696_at	EXOSC4	1
32	1q23.3	200916_at	TAGLN2	1
33	3q21	201614_s_at	RUVBL1	1
34	16p11.2	200966_x_at	ALDOA	1
35	2p25.1	225082_at	CPSF3	1
36	1q43	242488_at	NA	1
37	3q12.3	243011_at	MGC15606	1
38	22q13.1	201105_at	LGALS1	1
39	3p25.3	224200_s_at	RAD18	1
40	20p11	222417_s_at	SNX5	1
41	1q21.2	210460_s_at	PSMD4	1
42	12q24.3	200750_s_at	RAN	1
43	1q32.1	206364_at	KIF14	1
44	7p15.2	201091_s_at	CBX3	1
45	12q22	203432_at	TMPO	1
46	17q24.2	221970_s_at	DKFZP586L0724	1
47	11p15.4	212533_at	WEE1	1
48	3p12	213194_at	ROBO1	1
49	5q33.1	244686_at	TCOF1	1
50	8q23.1	200638_s_at	YWHAZ	1
51	10q23.31	205235_s_at	MPHOSPH1	1
52	9q31.3	201921_at	GNG10	-1
53	1p13	227278_at	NA	-1
54	Xp22.3	209740_s_at	PNPLA4	-1
55	20q11.21	227547_at	NA	-1
56	10q25.1	225582_at	KIAA1754	-1
57	1p13.2	200850_s_at	AHCYL1	-1
58	1p13.3	213628_at	MCLC	-1
59	1p22	209717_at	EVI5	-1
60	1p13.3	222495_at	AD-020	-1
61	6p21.31	1557277_a_at	NA	-1
62	1p22.1	1554736_at	PARG1	-1
63	1p22	218924_s_at	CTBS	-1
64	9p13.2	226954_at	UBE2R2	-1
65	1p34	202838_at	FUCA1	-1
66	13q14	230192_at	RFP2	-1
67	12q13.11	48106_at	FLJ20489	-1
68	11q13.1	237964_at	NA	-1
69	2p22.3	202729_s_at	LTBP1	-1
70	1p13.1	212435_at	TRIM33	-1
