"# Program:featureCounts v2.0.6; Command:""featureCounts"" ""-a"" ""../../../annotation/ERCC92.gtf"" ""-o"" ""../../../outputs/FC_readdepth"" ""-F"" ""GTF"" ""-L"" ""1M_drna_ercc.fastq.bam"" ""250k_drna_ercc.fastq.bam"" ""2M_drna_ercc.fastq.bam"" ""500k_drna_ercc.fastq.bam"" ""5M_drna_ercc.fastq.bam"" "								
Geneid	Length	1M	250k	2M	500k	5M	GC	conc
ERCC-00002	1061	150393	37349	301090	75145	751201	51.36663525	15000
ERCC-00003	1023	12961	3239	26027	6467	65264	32.64907136	937.5
ERCC-00004	523	73627	18414	147365	36754	368688	34.416826	7500
ERCC-00009	984	5958	1498	11929	3007	29814	47.25609756	937.5
ERCC-00012	994	2	0	2	1	6	50.9054326	0.11444092
ERCC-00013	808	12	3	25	5	63	42.82178218	0.91552734
ERCC-00014	1957	52	7	108	16	303	44.20030659	3.66210938
ERCC-00016	844	2	0	5	1	11	48.45971564	0.22888184
ERCC-00017	1136	2	0	5	1	5	51.4084507	0.11444092
ERCC-00019	644	316	74	662	150	1662	48.75776398	29.296875
ERCC-00022	751	1823	455	3575	910	9059	47.27030626	234.375
ERCC-00024	536	3	1	9	1	13	46.26865672	0.22888184
ERCC-00025	1994	340	90	692	173	1832	50.15045135	58.59375
ERCC-00028	1130	13	2	28	6	78	50.61946903	3.66210938
ERCC-00031	1138	12	5	25	10	70	47.80316344	1.83105469
ERCC-00033	2022	6	1	20	3	75	32.78931751	1.83105469
ERCC-00034	1019	100	24	202	52	496	49.16584887	7.32421875
ERCC-00035	1130	821	190	1670	401	4176	51.32743363	117.1875
ERCC-00039	740	31	7	57	15	160	48.91891892	3.66210938
ERCC-00040	744	9	3	16	5	35	52.68817204	0.91552734
ERCC-00041	1122	1	0	4	0	8	45.36541889	0.22888184
ERCC-00042	1023	6423	1627	12834	3206	31902	39.19843597	468.75
ERCC-00043	1023	4047	1027	8238	2025	20940	32.74682307	468.75
ERCC-00044	1156	350	81	713	180	1718	50	117.1875
ERCC-00046	522	50349	12417	100413	24887	250744	34.86590038	3750
ERCC-00048	992	0	0	1	0	2	47.68145161	0.01430512
ERCC-00051	274	570	146	1064	287	2673	34.30656934	58.59375
ERCC-00053	1023	199	43	417	98	1066	31.1827957	29.296875
ERCC-00054	274	127	27	281	67	755	37.22627737	14.6484375
ERCC-00057	1021	1	0	2	0	2	49.75514202	0.01430512
ERCC-00058	1136	17	4	23	11	68	50.17605634	1.83105469
ERCC-00059	525	166	39	342	81	887	48	14.6484375
ERCC-00060	523	4615	1185	9118	2296	22742	31.16634799	234.375
ERCC-00061	1136	0	0	0	0	0	50.13215859	0.05722046
ERCC-00062	1023	610	144	1242	314	3085	30.79178886	58.59375
ERCC-00067	644	28	8	45	16	96	47.20496894	3.66210938
ERCC-00069	1137	17	5	36	8	94	50.21987687	1.83105469
ERCC-00071	642	426	102	873	203	2104	48.4423676	58.59375
ERCC-00073	603	9	2	19	5	37	47.09784411	0.91552734
ERCC-00074	522	174400	43830	348226	87435	870588	34.6743295	15000
ERCC-00075	1023	0	0	0	0	2	36.26588465	0.01430512
ERCC-00076	642	2443	595	4903	1239	12086	49.68847352	234.375
ERCC-00077	273	93	23	180	53	420	32.96703297	3.66210938
ERCC-00078	993	203	42	390	100	937	50.05035247	29.296875
ERCC-00079	644	661	179	1293	346	3271	49.37888199	58.59375
ERCC-00081	534	2	0	4	1	10	48.68913858	0.22888184
ERCC-00083	1022	0	0	1	0	1	34.54011742	0.02861023
ERCC-00084	994	236	53	453	121	1066	50.30181087	29.296875
ERCC-00085	844	67	14	131	33	289	48.57819905	7.32421875
ERCC-00086	1020	3	0	5	0	9	32.25490196	0.11444092
ERCC-00092	1124	2291	547	4566	1083	11640	50.17793594	234.375
ERCC-00095	521	1287	317	2522	643	6150	37.23608445	117.1875
ERCC-00096	1107	137609	34258	274425	68662	685856	50.94850949	15000
ERCC-00097	523	14	2	20	10	45	36.1376673	0.45776367
ERCC-00098	1143	1	0	2	0	3	51.44356955	0.05722046
ERCC-00099	1350	145	42	305	76	784	41.33333333	14.6484375
ERCC-00104	2022	4	0	6	0	16	32.73986152	0.22888184
ERCC-00108	1022	8730	2165	17484	4345	43923	49.02152642	937.5
ERCC-00109	536	6	1	13	3	26	45.52238806	0.91552734
ERCC-00111	994	3814	995	7654	1963	19270	47.08249497	468.75
ERCC-00112	1136	830	210	1655	417	4077	47.09507042	117.1875
ERCC-00113	840	43643	10966	87776	21929	219547	50.47619048	3750
ERCC-00116	1991	1019	257	2123	515	5277	50.12556504	468.75
ERCC-00117	1136	1	0	2	1	2	51.1443662	0.05722046
ERCC-00120	536	7	2	9	4	25	48.32089552	0.91552734
ERCC-00123	1022	3	0	7	3	26	35.61643836	0.22888184
ERCC-00126	1118	34	8	70	16	196	50.53667263	14.6484375
