"txID","geneID","gene","transcript","log2fc","GENENAME","HGNC","Length","Class","GC"
"ENST00000349817.2","ENSG00000007312.14",0.00127778644190987,0,1.39595997849112,"ENSG00000007312.14","CD79B",378,"protein_coding",0.5714
"ENST00000392795.7","ENSG00000007312.14",0.00127778644190987,0,-0.564970872086339,"ENSG00000007312.14","CD79B",1254,"protein_coding",0.5989
"ENST00000007264.7","ENSG00000007376.8",0.00336554948722535,0,-1.00999044432933,"ENSG00000007376.8","RPUSD1",2048,"protein_coding",0.6699
"ENST00000561734.5","ENSG00000007376.8",0.00336554948722535,0,0.854807781885627,"ENSG00000007376.8","RPUSD1",2159,"protein_coding",0.6656
"ENST00000339594.9","ENSG00000009954.11",0.0245368772731524,0,0.247910165016315,"ENSG00000009954.11","BAZ1B",6115,"protein_coding",0.4796
"ENST00000404251.1","ENSG00000009954.11",0.0245368772731524,0,-2.22784437020895,"ENSG00000009954.11","BAZ1B",5428,"protein_coding",0.4915
"ENST00000394670.9","ENSG00000010244.19",0.0289959338874291,0,-0.0574522850345123,"ENSG00000010244.19","ZNF207",13740,"protein_coding",0.3681
"ENST00000394673.6","ENSG00000010244.19",0.0289959338874291,0,0.853056051907834,"ENSG00000010244.19","ZNF207",2124,"protein_coding",0.4506
"ENST00000425675.7","ENSG00000063241.8",2.07445209518463e-05,0,-0.392131337018676,"ENSG00000063241.8","ISOC2",1075,"protein_coding",0.6428
"ENST00000438389.6","ENSG00000063241.8",2.07445209518463e-05,0,0.682156243579104,"ENSG00000063241.8","ISOC2",1566,"protein_coding",0.6284
"ENST00000308924.9","ENSG00000063244.14",1.92273854315861e-06,0,1.51081664302605,"ENSG00000063244.14","U2AF2",2146,"protein_coding",0.6048
"ENST00000450554.6","ENSG00000063244.14",1.92273854315861e-06,0,0.0942620626885572,"ENSG00000063244.14","U2AF2",3022,"protein_coding",0.6109
"ENST00000370251.3","ENSG00000063587.15",0.000450353341538563,0,-9.10527625594916,"ENSG00000063587.15","ZNF275",6320,"protein_coding",0.4935
"ENST00000650114.2","ENSG00000063587.15",0.000450353341538563,0,-0.00421160211858228,"ENSG00000063587.15","ZNF275",6420,"protein_coding",0.4967
"ENST00000265562.5","ENSG00000076201.16",4.53304060954451e-13,0,-1.04577387719558,"ENSG00000076201.16","PTPN23",5237,"protein_coding",0.6213
